Column1,timestamp8601,@message,cf_app_name,level,Info
22,"June 17th 2020, 13:29:59.381","[Sec-Fetch-Dest, Sec-Fetch-Mode, Sec-Fetch-Site, Sec-Fetch-User, Storm-Homepage-Redirect, Responsive-Enabled, Responsive-Lwpbuilder, B3, Dell-Mobile-Bot, Dnt, Trans-Device-Info, X-Trans-Device-Info, Upgrade-Insecure-Requests, Via, X-Akamai-Config-Log-Detail]",sba-api-gateway-prod-13320515,info,"[Sec-Fetch-Dest, Sec-Fetch-Mode, Sec-Fetch-Site, Sec-Fetch-User, Storm-Homepage-Redirect, Responsive-Enabled, Responsive-Lwpbuilder, B3, Dell-Mobile-Bot, Dnt, Trans-Device-Info, X-Trans-Device-Info, Upgrade-Insecure-Requests, Via, X-Akamai-Config-Log-Detail]"
23,"June 17th 2020, 13:29:59.381","""2020-06-17",sba-api-gateway-prod-13320515,info,"""2020-06-17"
24,"June 17th 2020, 13:29:59.373","""207.195.39.195,",soitrp,info,207.195.39.195
25,"June 17th 2020, 13:29:59.370","""54.84.126.201,",soitrp,info,54.84.126.201
26,"June 17th 2020, 13:29:59.368","""12.186.50.210,",soitrp,info,12.186.50.210
27,"June 17th 2020, 13:29:59.368","""",Support-Client,info,""""
28,"June 17th 2020, 13:29:59.368","""71.178.199.157,",soitrp,info,71.178.199.157
30,"June 17th 2020, 13:29:59.365","""",Support-Client,info,""""
31,"June 17th 2020, 13:29:59.356",\x1b[41m\x1b[30mfail\x1b[39m\x1b[22m\x1b[49m: Microsoft.AspNetCore.Antiforgery.Internal.DefaultAntiforgery[7],flatcontents-ux,info, Microsoft.AspNetCore.Antiforgery.Internal.DefaultAntiforgery[7]
33,"June 17th 2020, 13:29:59.202","""50.199.130.33,",soitrp,info,50.199.130.33
35,"June 17th 2020, 13:29:58.971","""66.249.79.159,",soitrp,info,66.249.79.159
36,"June 17th 2020, 13:29:58.969","[Sec-Fetch-Dest, Sec-Fetch-Mode, Sec-Fetch-Site, Sec-Fetch-User, Storm-Homepage-Redirect, Responsive-Enabled, Responsive-Lwpbuilder, B3, Dell-Mobile-Bot, Dnt, Trans-Device-Info, X-Trans-Device-Info, Upgrade-Insecure-Requests, Via, X-Akamai-Config-Log-Detail]",sba-api-gateway-prod-13320515,info,"[Sec-Fetch-Dest, Sec-Fetch-Mode, Sec-Fetch-Site, Sec-Fetch-User, Storm-Homepage-Redirect, Responsive-Enabled, Responsive-Lwpbuilder, B3, Dell-Mobile-Bot, Dnt, Trans-Device-Info, X-Trans-Device-Info, Upgrade-Insecure-Requests, Via, X-Akamai-Config-Log-Detail]"
37,"June 17th 2020, 13:29:58.967","""2020-06-17",sba-api-gateway-prod-13320515,info,"""2020-06-17"
38,"June 17th 2020, 13:29:58.950",\x1b[41m\x1b[30mfail\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Product.Search.Api.Controllers.CatalogController[0],ProductSelectorApi,info, Dell.Support.Product.Search.Api.Controllers.CatalogController[0]
39,"June 17th 2020, 13:29:58.936","""106.11.158.92,",soitrp,info,106.11.158.92
40,"June 17th 2020, 13:29:58.934","""131.193.206.235,",soitrp,info,131.193.206.235
41,"June 17th 2020, 13:29:58.887","""47.147.1.239,",soitrp,info,47.147.1.239
42,"June 17th 2020, 13:29:58.887","""12.186.50.210,",soitrp,info,12.186.50.210
43,"June 17th 2020, 13:29:58.851","""89.210.210.139,",soitrp,info,89.210.210.139
44,"June 17th 2020, 13:29:58.851","""42.111.24.21,",soitrp,info,42.111.24.21
45,"June 17th 2020, 13:29:58.832","""140.194.40.37,",soitrp,info,140.194.40.37
46,"June 17th 2020, 13:29:58.832","""108.35.2.72,",soitrp,info,108.35.2.72
47,"June 17th 2020, 13:29:58.800","""181.179.27.161,",soitrp,info,181.179.27.161
48,"June 17th 2020, 13:29:58.800","""5.197.148.165,",soitrp,info,5.197.148.165
49,"June 17th 2020, 13:29:58.753","""108.209.228.78,",soitrp,info,108.209.228.78
50,"June 17th 2020, 13:29:58.753","""181.239.34.47,",soitrp,info,181.239.34.47
51,"June 17th 2020, 13:29:58.751","""198.72.7.21,",soitrp,info,198.72.7.21
52,"June 17th 2020, 13:29:58.751","""168.96.255.111,",soitrp,info,168.96.255.111
53,"June 17th 2020, 13:29:58.607","""68.46.1.145,",soitrp,info,68.46.1.145
54,"June 17th 2020, 13:29:58.604","""111.206.198.105,",soitrp,info,111.206.198.105
55,"June 17th 2020, 13:29:58.600","""207.189.250.146,",soitrp,info,207.189.250.146
56,"June 17th 2020, 13:29:58.534","""100.14.146.65,",soitrp,info,100.14.146.65
57,"June 17th 2020, 13:29:58.494","""",Support-Client,info,""""
58,"June 17th 2020, 13:29:58.442","""50.248.12.182,",soitrp,info,50.248.12.182
59,"June 17th 2020, 13:29:58.415","""205.228.82.172,",soitrp,info,205.228.82.172
60,"June 17th 2020, 13:29:58.406",\x1b[41m\x1b[30mfail\x1b[39m\x1b[22m\x1b[49m: Dell.Support.Product.Search.Api.Controllers.CatalogController[0],ProductSelectorApi,info, Dell.Support.Product.Search.Api.Controllers.CatalogController[0]
63,"June 17th 2020, 13:29:58.246","""",Support-Client,info,""""
64,"June 17th 2020, 13:29:58.246","""",Support-Client,info,""""
67,"June 17th 2020, 13:29:58.236","""",Support-Client,info,""""
69,"June 17th 2020, 13:29:58.235","""",Support-Client,info,""""
70,"June 17th 2020, 13:29:58.226","""202.164.148.68,",soitrp,info,202.164.148.68
71,"June 17th 2020, 13:29:58.226","""103.7.61.162,",soitrp,info,103.7.61.162
72,"June 17th 2020, 13:29:57.983",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
73,"June 17th 2020, 13:29:57.982",      Removed :PYPID - 68880c45-20d4-44e2-956d-7081b92283cc,SupportOnlinePurchasedproductsApi,info,      Removed :PYPID - 68880c45-20d4-44e2-956d-7081b92283cc
74,"June 17th 2020, 13:29:57.972",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
75,"June 17th 2020, 13:29:57.966",      Removed :PYSID - c0c443f4-22df-4b0f-bc49-bf9396a10b41,SupportOnlinePurchasedproductsApi,info,      Removed :PYSID - c0c443f4-22df-4b0f-bc49-bf9396a10b41
76,"June 17th 2020, 13:29:57.965",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
77,"June 17th 2020, 13:29:57.965",      Not Mapped: aud,SupportOnlinePurchasedproductsApi,info,      Not Mapped: aud
78,"June 17th 2020, 13:29:57.954",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
79,"June 17th 2020, 13:29:57.944",      Not Mapped: iss,SupportOnlinePurchasedproductsApi,info,      Not Mapped: iss
80,"June 17th 2020, 13:29:57.936",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
81,"June 17th 2020, 13:29:57.925",      Not Mapped: iat,SupportOnlinePurchasedproductsApi,info,      Not Mapped: iat
82,"June 17th 2020, 13:29:57.925",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
83,"June 17th 2020, 13:29:57.916",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
84,"June 17th 2020, 13:29:57.916",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
85,"June 17th 2020, 13:29:57.916",      Not Mapped: exp,SupportOnlinePurchasedproductsApi,info,      Not Mapped: exp
86,"June 17th 2020, 13:29:57.916",      Not Mapped: ssid,SupportOnlinePurchasedproductsApi,info,      Not Mapped: ssid
87,"June 17th 2020, 13:29:57.916",      Not Mapped: nbf,SupportOnlinePurchasedproductsApi,info,      Not Mapped: nbf
88,"June 17th 2020, 13:29:57.909",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
89,"June 17th 2020, 13:29:57.909",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
90,"June 17th 2020, 13:29:57.909",      Mapped : FH to FactorHistory,SupportOnlinePurchasedproductsApi,info,      Mapped : FH to FactorHistory
91,"June 17th 2020, 13:29:57.904",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
92,"June 17th 2020, 13:29:57.904",      Mapped : PH to ProtocolHistory,SupportOnlinePurchasedproductsApi,info,      Mapped : PH to ProtocolHistory
93,"June 17th 2020, 13:29:56.890",      Mapped : CH to ConnectionHistory,SupportOnlinePurchasedproductsApi,info,      Mapped : CH to ConnectionHistory
94,"June 17th 2020, 13:29:56.889",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
95,"June 17th 2020, 13:29:56.882",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
96,"June 17th 2020, 13:29:56.882",      Mapped : IH to IdpHistory,SupportOnlinePurchasedproductsApi,info,      Mapped : IH to IdpHistory
97,"June 17th 2020, 13:29:56.882",      Not Mapped: connectionName,SupportOnlinePurchasedproductsApi,info,      Not Mapped: connectionName
98,"June 17th 2020, 13:29:56.881",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
99,"June 17th 2020, 13:29:56.880",      Not Mapped: instanceid,SupportOnlinePurchasedproductsApi,info,      Not Mapped: instanceid
100,"June 17th 2020, 13:29:56.880",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
101,"June 17th 2020, 13:29:56.880",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
102,"June 17th 2020, 13:29:56.880",      Not Mapped: http://www.dell.com/identity/claims/profile/fingerprint,SupportOnlinePurchasedproductsApi,info,      Not Mapped: http://www.dell.com/identity/claims/profile/fingerprint
103,"June 17th 2020, 13:29:56.880",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
104,"June 17th 2020, 13:29:56.880",      Not Mapped: http://www.dell.com/identity/connectionName,SupportOnlinePurchasedproductsApi,info,      Not Mapped: http://www.dell.com/identity/connectionName
105,"June 17th 2020, 13:29:56.879",      Mapped : PYIID to http://www.dell.com/identity/claims/session/instanceid,SupportOnlinePurchasedproductsApi,info,      Mapped : PYIID to http://www.dell.com/identity/claims/session/instanceid
106,"June 17th 2020, 13:29:56.879",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
107,"June 17th 2020, 13:29:56.877",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
108,"June 17th 2020, 13:29:56.877",      Not Mapped: authenticationsource,SupportOnlinePurchasedproductsApi,info,      Not Mapped: authenticationsource
109,"June 17th 2020, 13:29:56.877",      Not Mapped: accountid,SupportOnlinePurchasedproductsApi,info,      Not Mapped: accountid
110,"June 17th 2020, 13:29:56.877",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
111,"June 17th 2020, 13:29:56.877",      Mapped : PYACID to http://www.dell.com/identity/claims/accountid,SupportOnlinePurchasedproductsApi,info,      Mapped : PYACID to http://www.dell.com/identity/claims/accountid
112,"June 17th 2020, 13:29:56.877",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
113,"June 17th 2020, 13:29:56.876",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
115,"June 17th 2020, 13:29:56.876","""",Support-Client,info,""""
116,"June 17th 2020, 13:29:56.876",      Mapped : PYSR to http://www.dell.com/identity/claims/authentication/source,SupportOnlinePurchasedproductsApi,info,      Mapped : PYSR to http://www.dell.com/identity/claims/authentication/source
117,"June 17th 2020, 13:29:56.874",      Not Mapped: authenticationstatus,SupportOnlinePurchasedproductsApi,info,      Not Mapped: authenticationstatus
118,"June 17th 2020, 13:29:56.874","""",Support-Client,info,""""
119,"June 17th 2020, 13:29:56.865",      Mapped : PYST to http://www.dell.com/identity/claims/authentication/status,SupportOnlinePurchasedproductsApi,info,      Mapped : PYST to http://www.dell.com/identity/claims/authentication/status
120,"June 17th 2020, 13:29:56.865",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
121,"June 17th 2020, 13:29:56.862",      Not Mapped: authenticationtype,SupportOnlinePurchasedproductsApi,info,      Not Mapped: authenticationtype
122,"June 17th 2020, 13:29:56.862",      Mapped : PYATY to http://www.dell.com/identity/claims/authentication/type,SupportOnlinePurchasedproductsApi,info,      Mapped : PYATY to http://www.dell.com/identity/claims/authentication/type
123,"June 17th 2020, 13:29:56.862",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
124,"June 17th 2020, 13:29:56.862",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
125,"June 17th 2020, 13:29:56.862",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
126,"June 17th 2020, 13:29:56.861",      Not Mapped: emailaddress,SupportOnlinePurchasedproductsApi,info,      Not Mapped: emailaddress
127,"June 17th 2020, 13:29:56.861",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
128,"June 17th 2020, 13:29:56.858",      Mapped : PYEID to http://www.dell.com/identity/claims/profile/emailaddress,SupportOnlinePurchasedproductsApi,info,      Mapped : PYEID to http://www.dell.com/identity/claims/profile/emailaddress
129,"June 17th 2020, 13:29:56.858",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
130,"June 17th 2020, 13:29:56.856",      @@@ RenewSessionHandler.ProcessRequest,SupportOnlinePurchasedproductsApi,info,      @@@ RenewSessionHandler.ProcessRequest
131,"June 17th 2020, 13:29:56.856",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Core.Pipeline.RenewSessionHandler[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Core.Pipeline.RenewSessionHandler[0]
132,"June 17th 2020, 13:29:56.856",      No Valid Claims found in Header,SupportOnlinePurchasedproductsApi,info,      No Valid Claims found in Header
133,"June 17th 2020, 13:29:56.855",      No Action Strategy seleted,SupportOnlinePurchasedproductsApi,info,      No Action Strategy seleted
134,"June 17th 2020, 13:29:56.855",      @@@PopulateUserIdentityFromHeaderHandler.ProcessRequest,SupportOnlinePurchasedproductsApi,info,      @@@PopulateUserIdentityFromHeaderHandler.ProcessRequest
135,"June 17th 2020, 13:29:56.855",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Core.Pipeline.PopulateUserIdentityFromHeaderHandler[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Core.Pipeline.PopulateUserIdentityFromHeaderHandler[0]
136,"June 17th 2020, 13:29:56.855",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Core.Pipeline.PopulateUserIdentityFromHeaderHandler[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Core.Pipeline.PopulateUserIdentityFromHeaderHandler[0]
137,"June 17th 2020, 13:29:56.848",      @@@ClientSecurityContextHandler.ProcessRequest,SupportOnlinePurchasedproductsApi,info,      @@@ClientSecurityContextHandler.ProcessRequest
138,"June 17th 2020, 13:29:56.848",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Core.Utilities.Chain[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Core.Utilities.Chain[0]
139,"June 17th 2020, 13:29:56.848",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Core.Business.ActionStrategy.CoreStrategySelector[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Core.Business.ActionStrategy.CoreStrategySelector[0]
140,"June 17th 2020, 13:29:56.848",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Core.Pipeline.PopulateUserIdentityFromHeaderHandler[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Core.Pipeline.PopulateUserIdentityFromHeaderHandler[0]
141,"June 17th 2020, 13:29:56.848",      Not Mapped: lastname,SupportOnlinePurchasedproductsApi,info,      Not Mapped: lastname
142,"June 17th 2020, 13:29:56.848",      @@@Chain.Authenticate,SupportOnlinePurchasedproductsApi,info,      @@@Chain.Authenticate
143,"June 17th 2020, 13:29:56.847",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
144,"June 17th 2020, 13:29:56.838",      Mapped : PYLN to http://www.dell.com/identity/claims/profile/lastname,SupportOnlinePurchasedproductsApi,info,      Mapped : PYLN to http://www.dell.com/identity/claims/profile/lastname
145,"June 17th 2020, 13:29:56.837",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
146,"June 17th 2020, 13:29:56.836",      Not Mapped: firstname,SupportOnlinePurchasedproductsApi,info,      Not Mapped: firstname
147,"June 17th 2020, 13:29:56.836",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
148,"June 17th 2020, 13:29:56.831",      Not Mapped: username,SupportOnlinePurchasedproductsApi,info,      Not Mapped: username
149,"June 17th 2020, 13:29:56.831",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
150,"June 17th 2020, 13:29:56.831",      Mapped : PYFN to http://www.dell.com/identity/claims/profile/firstname,SupportOnlinePurchasedproductsApi,info,      Mapped : PYFN to http://www.dell.com/identity/claims/profile/firstname
151,"June 17th 2020, 13:29:56.824",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
152,"June 17th 2020, 13:29:56.824",      Mapped : PYUN to http://www.dell.com/identity/claims/profile/username,SupportOnlinePurchasedproductsApi,info,      Mapped : PYUN to http://www.dell.com/identity/claims/profile/username
153,"June 17th 2020, 13:29:56.822",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
154,"June 17th 2020, 13:29:56.814",      Not Mapped: id,SupportOnlinePurchasedproductsApi,info,      Not Mapped: id
155,"June 17th 2020, 13:29:56.813",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
156,"June 17th 2020, 13:29:56.812",      Mapped : PYPID to http://www.dell.com/identity/claims/profile/id,SupportOnlinePurchasedproductsApi,info,      Mapped : PYPID to http://www.dell.com/identity/claims/profile/id
157,"June 17th 2020, 13:29:56.809",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
158,"June 17th 2020, 13:29:56.808",      Mapped : PYSID to http://www.dell.com/identity/claims/session/id,SupportOnlinePurchasedproductsApi,info,      Mapped : PYSID to http://www.dell.com/identity/claims/session/id
159,"June 17th 2020, 13:29:56.807",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
160,"June 17th 2020, 13:29:56.807","""189.146.165.19,",soitrp,info,189.146.165.19
161,"June 17th 2020, 13:29:56.800",      shortnameenabled  : True and claims found,SupportOnlinePurchasedproductsApi,info,      shortnameenabled  : True and claims found
162,"June 17th 2020, 13:29:56.797",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
163,"June 17th 2020, 13:29:56.796",      cstTimeNow:6/17/20 1:29:47 PM,SupportOnlinePurchasedproductsApi,info,      cstTimeNow:6/17/20 1:29:47 PM
164,"June 17th 2020, 13:29:56.796",      time difference:7,SupportOnlinePurchasedproductsApi,info,      time difference:7
165,"June 17th 2020, 13:29:56.796",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Dell.Identity.WebModule.Utilities.ClaimsHelper[0],SupportOnlinePurchasedproductsApi,info, Dell.Identity.WebModule.Utilities.ClaimsHelper[0]
166,"June 17th 2020, 13:29:56.789",      appCstTimeZoneDisplayName:Central Standard Time,SupportOnlinePurchasedproductsApi,info,      appCstTimeZoneDisplayName:Central Standard Time
